date,product_id,delivery_days,lead_time_days,transporter,delivery_status
2025-01-09 13:35:44.019029,P001,4,4,Transporter_2,OnTime
2025-01-09 13:35:44.019029,P002,1,5,Transporter_2,OnTime
2025-01-09 13:35:44.019029,P003,4,4,Transporter_4,OnTime
2025-01-09 13:35:44.019029,P004,3,5,Transporter_4,OnTime
2025-01-09 13:35:44.019029,P005,6,7,Transporter_1,OnTime
2025-01-09 13:35:44.019029,P006,5,4,Transporter_1,OnTime
2025-01-09 13:35:44.019029,P007,1,1,Transporter_2,Delayed
2025-01-09 13:35:44.019029,P008,5,5,Transporter_1,Delayed
2025-01-09 13:35:44.019029,P009,2,1,Transporter_4,OnTime
2025-01-09 13:35:44.019029,P010,3,6,Transporter_3,OnTime
2025-01-10 13:35:44.019029,P001,6,7,Transporter_1,OnTime
2025-01-10 13:35:44.019029,P002,6,6,Transporter_2,OnTime
2025-01-10 13:35:44.019029,P003,6,8,Transporter_1,OnTime
2025-01-10 13:35:44.019029,P004,5,7,Transporter_3,OnTime
2025-01-10 13:35:44.019029,P005,5,2,Transporter_4,OnTime
2025-01-10 13:35:44.019029,P006,5,7,Transporter_4,Delayed
2025-01-10 13:35:44.019029,P007,5,6,Transporter_1,OnTime
2025-01-10 13:35:44.019029,P008,2,2,Transporter_3,OnTime
2025-01-10 13:35:44.019029,P009,2,3,Transporter_3,OnTime
2025-01-10 13:35:44.019029,P010,3,5,Transporter_4,OnTime
2025-01-11 13:35:44.019029,P001,1,4,Transporter_4,OnTime
2025-01-11 13:35:44.019029,P002,1,4,Transporter_1,Delayed
2025-01-11 13:35:44.019029,P003,2,6,Transporter_1,OnTime
2025-01-11 13:35:44.019029,P004,6,3,Transporter_4,OnTime
2025-01-11 13:35:44.019029,P005,4,6,Transporter_1,OnTime
2025-01-11 13:35:44.019029,P006,3,9,Transporter_4,OnTime
2025-01-11 13:35:44.019029,P007,5,7,Transporter_1,Delayed
2025-01-11 13:35:44.019029,P008,1,3,Transporter_2,OnTime
2025-01-11 13:35:44.019029,P009,4,9,Transporter_4,OnTime
2025-01-11 13:35:44.019029,P010,5,5,Transporter_4,OnTime
2025-01-12 13:35:44.019029,P001,5,6,Transporter_4,OnTime
2025-01-12 13:35:44.019029,P002,4,6,Transporter_3,OnTime
2025-01-12 13:35:44.019029,P003,5,6,Transporter_1,OnTime
2025-01-12 13:35:44.019029,P004,6,9,Transporter_1,Delayed
2025-01-12 13:35:44.019029,P005,5,1,Transporter_2,OnTime
2025-01-12 13:35:44.019029,P006,3,8,Transporter_3,OnTime
2025-01-12 13:35:44.019029,P007,3,7,Transporter_3,OnTime
2025-01-12 13:35:44.019029,P008,2,5,Transporter_1,OnTime
2025-01-12 13:35:44.019029,P009,1,5,Transporter_1,OnTime
2025-01-12 13:35:44.019029,P010,6,4,Transporter_1,OnTime
2025-01-13 13:35:44.019029,P001,1,5,Transporter_4,Delayed
2025-01-13 13:35:44.019029,P002,6,5,Transporter_4,OnTime
2025-01-13 13:35:44.019029,P003,2,6,Transporter_4,Delayed
2025-01-13 13:35:44.019029,P004,6,8,Transporter_1,OnTime
2025-01-13 13:35:44.019029,P005,2,1,Transporter_2,OnTime
2025-01-13 13:35:44.019029,P006,1,9,Transporter_4,OnTime
2025-01-13 13:35:44.019029,P007,5,6,Transporter_2,OnTime
2025-01-13 13:35:44.019029,P008,1,8,Transporter_2,OnTime
2025-01-13 13:35:44.019029,P009,4,6,Transporter_2,OnTime
2025-01-13 13:35:44.019029,P010,4,6,Transporter_4,OnTime
2025-01-14 13:35:44.019029,P001,4,6,Transporter_3,OnTime
2025-01-14 13:35:44.019029,P002,3,1,Transporter_3,Delayed
2025-01-14 13:35:44.019029,P003,4,3,Transporter_4,OnTime
2025-01-14 13:35:44.019029,P004,3,8,Transporter_4,OnTime
2025-01-14 13:35:44.019029,P005,5,7,Transporter_1,OnTime
2025-01-14 13:35:44.019029,P006,5,3,Transporter_3,OnTime
2025-01-14 13:35:44.019029,P007,5,9,Transporter_4,Delayed
2025-01-14 13:35:44.019029,P008,2,4,Transporter_1,Delayed
2025-01-14 13:35:44.019029,P009,3,4,Transporter_4,OnTime
2025-01-14 13:35:44.019029,P010,2,5,Transporter_2,Delayed
2025-01-15 13:35:44.019029,P001,3,3,Transporter_4,OnTime
2025-01-15 13:35:44.019029,P002,2,3,Transporter_1,OnTime
2025-01-15 13:35:44.019029,P003,6,9,Transporter_2,OnTime
2025-01-15 13:35:44.019029,P004,5,2,Transporter_2,OnTime
2025-01-15 13:35:44.019029,P005,1,8,Transporter_2,OnTime
2025-01-15 13:35:44.019029,P006,1,4,Transporter_4,OnTime
2025-01-15 13:35:44.019029,P007,6,5,Transporter_1,OnTime
