date,product_id,planned_qty,produced_qty,machine_utilization,downtime_hours
2025-01-09 13:35:44.019029,P001,99,90,83.62,4.99
2025-01-09 13:35:44.019029,P002,138,235,94.93,0.83
2025-01-09 13:35:44.019029,P003,122,166,97.31,3.15
2025-01-09 13:35:44.019029,P004,193,197,74.26,0.44
2025-01-09 13:35:44.019029,P005,173,156,92.67,1.68
2025-01-09 13:35:44.019029,P006,248,106,95.18,3.31
2025-01-09 13:35:44.019029,P007,73,217,82.26,0.5
2025-01-09 13:35:44.019029,P008,163,145,98.64,2.37
2025-01-09 13:35:44.019029,P009,193,254,84.0,0.3
2025-01-09 13:35:44.019029,P010,88,222,68.53,3.01
2025-01-10 13:35:44.019029,P001,101,152,89.38,4.28
2025-01-10 13:35:44.019029,P002,139,85,61.4,4.04
2025-01-10 13:35:44.019029,P003,195,178,66.92,4.52
2025-01-10 13:35:44.019029,P004,119,210,79.99,0.15
2025-01-10 13:35:44.019029,P005,283,269,99.49,2.72
2025-01-10 13:35:44.019029,P006,201,262,64.76,3.06
2025-01-10 13:35:44.019029,P007,162,293,62.14,3.81
2025-01-10 13:35:44.019029,P008,297,53,76.08,0.11
2025-01-10 13:35:44.019029,P009,173,144,87.47,4.35
2025-01-10 13:35:44.019029,P010,103,85,89.42,1.03
2025-01-11 13:35:44.019029,P001,195,112,67.05,0.82
2025-01-11 13:35:44.019029,P002,259,280,65.15,0.4
2025-01-11 13:35:44.019029,P003,202,193,91.68,0.68
2025-01-11 13:35:44.019029,P004,94,285,91.05,3.73
2025-01-11 13:35:44.019029,P005,193,290,96.92,2.11
2025-01-11 13:35:44.019029,P006,254,141,81.39,4.05
2025-01-11 13:35:44.019029,P007,70,47,69.85,2.72
2025-01-11 13:35:44.019029,P008,192,213,98.17,4.56
2025-01-11 13:35:44.019029,P009,83,117,75.81,2.59
2025-01-11 13:35:44.019029,P010,276,88,60.96,4.2
2025-01-12 13:35:44.019029,P001,254,114,76.32,2.34
2025-01-12 13:35:44.019029,P002,237,273,82.22,0.6
2025-01-12 13:35:44.019029,P003,107,292,90.13,3.26
2025-01-12 13:35:44.019029,P004,112,276,91.13,3.56
2025-01-12 13:35:44.019029,P005,189,213,72.32,1.68
2025-01-12 13:35:44.019029,P006,192,122,90.14,4.6
2025-01-12 13:35:44.019029,P007,260,305,67.77,2.36
2025-01-12 13:35:44.019029,P008,275,173,87.89,1.04
2025-01-12 13:35:44.019029,P009,241,158,65.09,3.34
2025-01-12 13:35:44.019029,P010,270,297,93.94,4.35
2025-01-13 13:35:44.019029,P001,256,182,92.0,3.89
2025-01-13 13:35:44.019029,P002,223,285,83.62,0.99
2025-01-13 13:35:44.019029,P003,181,177,86.39,4.44
2025-01-13 13:35:44.019029,P004,289,245,80.86,2.75
2025-01-13 13:35:44.019029,P005,161,230,82.78,2.13
2025-01-13 13:35:44.019029,P006,127,209,77.96,4.3
2025-01-13 13:35:44.019029,P007,251,236,90.88,1.37
2025-01-13 13:35:44.019029,P008,79,62,98.4,2.61
2025-01-13 13:35:44.019029,P009,60,229,89.64,0.02
2025-01-13 13:35:44.019029,P010,235,63,67.93,2.1
2025-01-14 13:35:44.019029,P001,120,81,66.13,4.53
2025-01-14 13:35:44.019029,P002,272,199,92.12,1.68
2025-01-14 13:35:44.019029,P003,59,212,96.04,4.18
2025-01-14 13:35:44.019029,P004,256,292,99.56,1.07
2025-01-14 13:35:44.019029,P005,59,106,66.54,3.17
2025-01-14 13:35:44.019029,P006,181,60,82.7,2.08
2025-01-14 13:35:44.019029,P007,268,186,93.76,0.03
2025-01-14 13:35:44.019029,P008,128,170,95.46,4.76
2025-01-14 13:35:44.019029,P009,162,200,80.55,1.15
2025-01-14 13:35:44.019029,P010,96,237,63.08,4.21
2025-01-15 13:35:44.019029,P001,295,139,70.87,1.66
2025-01-15 13:35:44.019029,P002,85,137,78.09,1.3
2025-01-15 13:35:44.019029,P003,248,230,66.13,0.65
2025-01-15 13:35:44.019029,P004,107,205,64.58,2.04
2025-01-15 13:35:44.019029,P005,134,109,97.46,3.53
2025-01-15 13:35:44.019029,P006,198,109,62.86,3.38
2025-01-15 13:35:44.019029,P007,210,241,60.55,3.7
2025-01-15 13:35:44.019029,P008,218,128,63.25,0.79
2025-01-15 13:35:44.019029,P009,290,219,70.83,3.89
2025-01-15 13:35:44.019029,P010,78,231,76.75,0.59
2025-01-16 13:35:44.019029,P001,77,307,66.44,1.18
2025-01-16 13:35:44.019029,P002,179,239,68.67,1.89
2025-01-16 13:35:44.019029,P003,158,256,84.14,1.37
2025-01-16 13:35:44.019029,P004,127,135,69.75,3.66
2025-01-16 13:35:44.019029,P005,69,102,82.88,1.01
2025-01-16 13:35:44.019029,P006,237,76,91.51,3.38
2025-01-16 13:35:44.019029,P007,297,47,83.7,0.4
2025-01-16 13:35:44.019029,P008,243,200,72.02,4.56
2025-01-16 13:35:44.019029,P009,65,265,73.59,3.34
2025-01-16 13:35:44.019029,P010,120,175,89.8,3.36
2025-01-17 13:35:44.019029,P001,211,56,71.12,3.06
2025-01-17 13:35:44.019029,P002,208,263,81.01,1.54
2025-01-17 13:35:44.019029,P003,195,233,98.97,0.74
2025-01-17 13:35:44.019029,P004,83,299,72.83,4.78
2025-01-17 13:35:44.019029,P005,139,271,74.87,0.31
2025-01-17 13:35:44.019029,P006,248,48,89.29,1.49
2025-01-17 13:35:44.019029,P007,182,275,71.9,2.59
2025-01-17 13:35:44.019029,P008,159,300,92.56,2.68
2025-01-17 13:35:44.019029,P009,123,46,88.2,2.49
2025-01-17 13:35:44.019029,P010,162,231,75.04,2.08
2025-01-18 13:35:44.019029,P001,58,126,68.65,4.68
2025-01-18 13:35:44.019029,P002,271,148,72.89,1.21
2025-01-18 13:35:44.019029,P003,124,218,98.65,2.26
2025-01-18 13:35:44.019029,P004,210,234,69.89,2.36
2025-01-18 13:35:44.019029,P005,50,134,84.09,2.11
2025-01-18 13:35:44.019029,P006,257,44,70.05,3.22
2025-01-18 13:35:44.019029,P007,159,201,82.6,1.27
2025-01-18 13:35:44.019029,P008,237,48,96.67,3.71
2025-01-18 13:35:44.019029,P009,247,189,84.98,3.95
